SigUF,NomRegiao,CodMunicipioIbge,NomMunicipio,qtd_empreendimentos,potencia_total_kw,potencia_media_kw
MG,Sudeste,3156700,Sabará,839,12302.72,14.66
SP,Sudeste,3550407,São Pedro,1227,12275.71,10.0
PA,Norte,1506187,Rondon do Pará,1329,12266.26,9.23
SC,Sul,4202305,Biguaçu,1305,12254.56,9.39
PR,Sul,4101705,Araruna,901,12240.35,13.59
PR,Sul,4120853,Quatro Pontes,719,12231.99,17.01
GO,Centro Oeste,5210901,Itapaci,712,12228.9,17.18
GO,Centro Oeste,5212303,Leopoldo de Bulhões,252,12218.98,48.49
TO,Norte,1705508,Colinas do Tocantins,1156,12180.72,10.54
SC,Sul,4204905,Descanso,631,12172.29,19.29
BA,Nordeste,2933208,Vera Cruz,1578,12152.27,7.7
PR,Sul,4119806,Planalto,1102,12150.61,11.03
SC,Sul,4219705,Xaxim,968,12148.35,12.55
RS,Sul,4313706,Palmeira das Missões,1232,12141.17,9.85
PR,Sul,4118006,Paraíso do Norte,850,12140.45,14.28
GO,Centro Oeste,5212956,Matrinchã,176,12137.04,68.96
RJ,Sudeste,3305406,Sapucaia,399,12125.32,30.39
RS,Sul,4319505,São Sebastião do Caí,1363,12091.02,8.87
MG,Sudeste,3131901,Itabirito,968,12078.04,12.48
SP,Sudeste,3518305,Guararema,1181,12069.81,10.22
SP,Sudeste,3518602,Guariba,1318,12050.55,9.14
MG,Sudeste,3110509,Camanducaia,354,12043.69,34.02
MG,Sudeste,3149903,Perdões,429,12036.96,28.06
PR,Sul,4112504,Jardim Alegre,336,12026.54,35.79
CE,Nordeste,2313302,Tauá,1237,12019.24,9.72
SP,Sudeste,3544004,Rio das Pedras,709,12018.37,16.95
MG,Sudeste,3138658,Lontra,82,11995.73,146.29
CE,Nordeste,2312304,São Benedito,731,11992.95,16.41
SP,Sudeste,3531803,Monte Mor,1359,11982.52,8.82
MG,Sudeste,3108206,Bonfinópolis de Minas,150,11929.41,79.53
SP,Sudeste,3508108,Buritama,1858,11927.64,6.42
MT,Centro Oeste,5104609,Itiquira,653,11908.69,18.24
PE,Nordeste,2609907,Ouricuri,1368,11900.58,8.7
GO,Centro Oeste,5205406,Ceres,1126,11887.44,10.56
MG,Sudeste,3150208,Piedade de Ponte Nova,556,11884.82,21.38
SC,Sul,4212502,Penha,1512,11874.12,7.85
PI,Nordeste,2210607,São Raimundo Nonato,935,11822.59,12.64
AM,Norte,1302504,Manacapuru,231,11804.77,51.1
GO,Centro Oeste,5217104,Piracanjuba,838,11785.35,14.06
SP,Sudeste,3556404,Vargem Grande do Sul,976,11783.44,12.07
GO,Centro Oeste,5200050,Abadia de Goiás,871,11782.95,13.53
MA,Nordeste,2112704,Vargem Grande,468,11776.97,25.16
MA,Nordeste,2109452,Raposa,1012,11742.16,11.6
MG,Sudeste,3159605,Santa Rita do Sapucaí,944,11741.41,12.44
MG,Sudeste,3111101,Campina Verde,973,11726.62,12.05
PR,Sul,4117503,Paiçandu,1530,11721.07,7.66
AL,Nordeste,2700607,Barra de São Miguel,847,11704.92,13.82
GO,Centro Oeste,5208905,Goiás,713,11701.14,16.41
GO,Centro Oeste,5204805,Campo Alegre de Goiás,206,11677.49,56.69
AL,Nordeste,2709152,Teotônio Vilela,628,11668.39,18.58
RS,Sul,4306205,Cruzeiro do Sul,1088,11638.46,10.7
MG,Sudeste,3171303,Viçosa,1349,11625.24,8.62
ES,Sudeste,3202256,Governador Lindenberg,796,11616.83,14.59
CE,Nordeste,2306256,Itaitinga,1425,11610.13,8.15
RO,Norte,1100254,Presidente Médici,1169,11605.54,9.93
PE,Nordeste,2612604,Santa Maria da Boa Vista,901,11575.79,12.85
CE,Nordeste,2314003,Várzea Alegre,1113,11530.7,10.36
MT,Centro Oeste,5107941,Tabaporã,590,11518.04,19.52
PR,Sul,4111506,Ivaiporã,923,11501.9,12.46
BA,Nordeste,2904001,Boninal,226,11470.95,50.76
PR,Sul,4127205,Terra Boa,855,11460.0,13.4
PR,Sul,4103602,Cambará,711,11458.42,16.12
PR,Sul,4114302,Mandirituba,443,11446.0,25.84
RS,Sul,4321709,Três Coroas,1376,11444.24,8.32
TO,Norte,1711902,Lagoa da Confusão,577,11441.31,19.83
SP,Sudeste,3504602,Bady Bassitt,1878,11440.37,6.09
CE,Nordeste,2309706,Pacatuba,1183,11386.04,9.62
RO,Norte,1100098,Espigão D'Oeste,1110,11370.42,10.24
GO,Centro Oeste,5204409,Caiapônia,295,11366.01,38.53
PE,Nordeste,2611002,Petrolândia,1476,11365.66,7.7
RJ,Sudeste,3304003,Piraí,306,11356.99,37.11
ES,Sudeste,3203163,Laranja da Terra,843,11335.93,13.45
MG,Sudeste,3136652,Juatuba,521,11335.54,21.76
RJ,Sudeste,3304508,Rio das Flores,72,11323.27,157.27
PR,Sul,4122602,Rondon,540,11315.34,20.95
MA,Nordeste,2104552,Governador Edison Lobão,803,11307.7,14.08
RS,Sul,4321303,Taquari,1841,11291.57,6.13
SC,Sul,4202107,Barra Velha,1756,11267.18,6.42
GO,Centro Oeste,5203906,Buriti Alegre,497,11262.45,22.66
CE,Nordeste,2307502,Lavras da Mangabeira,794,11242.15,14.16
RS,Sul,4305207,Cerro Largo,1497,11235.18,7.51
GO,Centro Oeste,5200258,Águas Lindas de Goiás,1019,11233.1,11.02
SP,Sudeste,3521903,Itajobi,1081,11195.02,10.36
SC,Sul,4208005,Itá,431,11118.05,25.8
MG,Sudeste,3142908,Monte Azul,756,11112.7,14.7
MG,Sudeste,3114204,Carmo do Cajuru,657,11096.59,16.89
PA,Norte,1504059,Mãe do Rio,526,11079.7,21.06
SP,Sudeste,3529203,Martinópolis,1301,11070.94,8.51
ES,Sudeste,3203502,Montanha,708,11070.75,15.64
PA,Norte,1508001,Tomé-Açu,925,11067.67,11.97
CE,Nordeste,2308401,Missão Velha,596,11052.49,18.54
PR,Sul,4128609,Verê,606,11040.55,18.22
SP,Sudeste,3541604,Promissão,1611,11003.32,6.83
PE,Nordeste,2610905,Pesqueira,972,10998.65,11.32
RS,Sul,4309605,Horizontina,1679,10989.49,6.55
PR,Sul,4102802,Bela Vista do Paraíso,488,10979.14,22.5
RS,Sul,4302352,Bom Princípio,1278,10959.67,8.58
BA,Nordeste,2914406,Iraquara,424,10957.8,25.84
PE,Nordeste,2613701,São Lourenço da Mata,1186,10935.96,9.22
RS,Sul,4315701,Rio Pardo,1195,10930.61,9.15
PR,Sul,4126355,Serranópolis do Iguaçu,687,10878.88,15.84
PE,Nordeste,2602605,Brejo da Madre de Deus,1107,10866.58,9.82
MG,Sudeste,3108305,Borda da Mata,517,10860.84,21.01
RJ,Sudeste,3300605,Bom Jesus do Itabapoana,1389,10835.85,7.8
SP,Sudeste,3526407,Laranjal Paulista,1018,10835.25,10.64
MS,Centro Oeste,5000203,Água Clara,968,10826.48,11.18
RS,Sul,4305355,Charqueadas,1692,10823.23,6.4
PA,Norte,1507300,São Félix do Xingu,1059,10822.48,10.22
PA,Norte,1501709,Bragança,1064,10810.65,10.16
PR,Sul,4124400,Santo Antônio do Sudoeste,782,10791.48,13.8
PR,Sul,4105409,Chopinzinho,736,10791.42,14.66
BA,Nordeste,2921708,Morro do Chapéu,469,10790.5,23.01
SP,Sudeste,3555109,Tupi Paulista,1254,10785.65,8.6
PR,Sul,4113205,Lapa,640,10777.28,16.84
PB,Nordeste,2504603,Conde,880,10774.81,12.24
PR,Sul,4125209,São Jorge D'Oeste,712,10769.71,15.13
SP,Sudeste,3511706,Charqueada,564,10740.33,19.04
PR,Sul,4123402,Santa Fé,806,10728.79,13.31
PB,Nordeste,2512101,Pombal,1136,10725.98,9.44
MG,Sudeste,3109303,Buritis,701,10700.74,15.26
SP,Sudeste,3528502,Mairiporã,1347,10697.61,7.94
MT,Centro Oeste,5108055,Terra Nova do Norte,814,10689.7,13.13
SP,Sudeste,3507803,Brodowski,740,10684.22,14.44
SP,Sudeste,3552106,Socorro,1133,10681.29,9.43
SP,Sudeste,3503901,Arujá,1162,10675.73,9.19
GO,Centro Oeste,5217708,Pontalina,876,10671.98,12.18
SP,Sudeste,3537602,Peruíbe,1438,10671.4,7.42
PR,Sul,4115408,Marmeleiro,696,10652.72,15.31
SC,Sul,4211702,Orleans,627,10637.54,16.97
BA,Nordeste,2913200,Ibotirama,1064,10635.07,10.0
MG,Sudeste,3141009,Mato Verde,361,10627.42,29.44
TO,Norte,1700707,Alvorada,488,10619.75,21.76
RS,Sul,4321600,Tramandaí,1261,10613.45,8.42
BA,Nordeste,2909307,Correntina,891,10601.55,11.9
RS,Sul,4311304,Lagoa Vermelha,969,10599.53,10.94
RN,Nordeste,2411205,Santa Cruz,1200,10599.14,8.83
GO,Centro Oeste,5221858,Valparaíso de Goiás,1066,10594.68,9.94
SC,Sul,4214201,Quilombo,564,10583.32,18.76
RS,Sul,4313060,Nova Hartz,1388,10565.18,7.61
MG,Sudeste,3109600,Cachoeira da Prata,917,10549.77,11.5
SP,Sudeste,3540002,Pompéia,980,10533.67,10.75
MG,Sudeste,3146107,Ouro Preto,955,10531.84,11.03
SP,Sudeste,3502507,Aparecida,479,10522.67,21.97
BA,Nordeste,2923209,Oliveira dos Brejinhos,704,10512.86,14.93
RS,Sul,4320800,Soledade,971,10508.36,10.82
MA,Nordeste,2105500,João Lisboa,1079,10502.44,9.73
GO,Centro Oeste,5210109,Ipameri,733,10501.52,14.33
SP,Sudeste,3537800,Piedade,903,10489.78,11.62
MG,Sudeste,3160405,Santo Antônio do Monte,941,10478.12,11.14
SP,Sudeste,3500303,Aguaí,803,10434.45,12.99
SC,Sul,4203907,Capinzal,669,10433.42,15.6
RS,Sul,4319604,São Sepé,1017,10409.99,10.24
MT,Centro Oeste,5105200,Juscimeira,774,10389.93,13.42
RS,Sul,4318408,São Jerônimo,780,10388.74,13.32
PR,Sul,4108205,Formosa do Oeste,725,10373.87,14.31
SC,Sul,4206306,Guabiruba,1175,10372.14,8.83
SP,Sudeste,3510401,Capivari,1012,10358.08,10.24
PR,Sul,4116307,Munhoz de Melo,212,10356.5,48.85
MT,Centro Oeste,5105507,Vila Bela da Santíssima Trindade,560,10355.97,18.49
BA,Nordeste,2922003,Mucuri,1278,10352.28,8.1
BA,Nordeste,2910701,Euclides da Cunha,1283,10340.65,8.06
PR,Sul,4127957,Tupãssi,620,10332.47,16.67
MT,Centro Oeste,5100300,Alto Araguaia,591,10332.19,17.48
MG,Sudeste,3151602,Planura,742,10325.33,13.92
MA,Nordeste,2112233,Trizidela do Vale,1255,10308.63,8.21
PR,Sul,4114005,Mamborê,620,10303.03,16.62
MT,Centro Oeste,5106281,Novo São Joaquim,504,10297.01,20.43
PR,Sul,4104659,Carambeí,343,10281.79,29.98
MG,Sudeste,3145109,Nova Resende,676,10280.76,15.21
RS,Sul,4313375,Nova Santa Rita,1237,10262.11,8.3
ES,Sudeste,3202702,Itaguaçu,766,10252.64,13.38
MT,Centro Oeste,5101407,Aripuanã,1040,10245.25,9.85
GO,Centro Oeste,5204102,Cachoeira Alta,369,10229.44,27.72
PR,Sul,4107652,Fazenda Rio Grande,907,10223.58,11.27
PR,Sul,4111902,Jaguapitã,627,10209.36,16.28
ES,Sudeste,3204302,Presidente Kennedy,247,10186.43,41.24
GO,Centro Oeste,5219753,Santo Antônio do Descoberto,374,10179.46,27.22
MG,Sudeste,3139003,Machado,903,10179.17,11.27
SP,Sudeste,3550100,São Manuel,683,10179.12,14.9
SP,Sudeste,3540903,Pradópolis,1038,10164.91,9.79
RJ,Sudeste,3304755,São Francisco de Itabapoana,1101,10162.68,9.23
MS,Centro Oeste,5002605,Camapuã,876,10156.06,11.59
MA,Nordeste,2102804,Carolina,958,10152.73,10.6
RS,Sul,4300109,Agudo,1276,10146.48,7.95
ES,Sudeste,3200409,Anchieta,978,10141.8,10.37
MG,Sudeste,3147204,Paraguaçu,737,10079.25,13.68
MG,Sudeste,3126901,Frei Inocêncio,272,10076.22,37.04
SC,Sul,4210605,Massaranduba,1132,10053.19,8.88
SP,Sudeste,3554300,Teodoro Sampaio,1471,10038.2,6.82
BA,Nordeste,2925956,Rafael Jambeiro,420,10037.95,23.9
PR,Sul,4106605,Cruzeiro do Oeste,1018,10023.6,9.85
BA,Nordeste,2912806,Ibirapuã,302,10004.53,33.13
GO,Centro Oeste,5203500,Bom Jesus,1031,10004.11,9.7
RS,Sul,4307302,Erval Seco,434,10001.72,23.05
RS,Sul,4316600,Sananduva,923,10000.55,10.83
SP,Sudeste,3505807,Bastos,1016,9984.82,9.83
AL,Nordeste,2704500,Maragogi,872,9978.43,11.44
BA,Nordeste,2909802,Cruz das Almas,1067,9970.46,9.34
MG,Sudeste,3129806,Ibirité,880,9966.25,11.33
PE,Nordeste,2613602,São José do Egito,1192,9934.45,8.33
MG,Sudeste,3118809,Coração de Jesus,325,9929.96,30.55
SP,Sudeste,3542206,Rancharia,1063,9927.99,9.34
PR,Sul,4107538,Entre Rios do Oeste,696,9925.3,14.26
SP,Sudeste,3522109,Itanhaém,1364,9924.33,7.28
BA,Nordeste,2905008,Caculé,1366,9910.9,7.26
PR,Sul,4119608,Pitanga,698,9891.54,14.17
MG,Sudeste,3155207,Rio Espera,47,9884.95,210.32
RS,Sul,4304408,Canela,1196,9850.12,8.24
SC,Sul,4216255,São João do Oeste,626,9836.98,15.71
ES,Sudeste,3202207,Fundão,876,9836.87,11.23
SC,Sul,4218004,Tijucas,1091,9833.92,9.01
MS,Centro Oeste,5002100,Bela Vista,988,9832.37,9.95
GO,Centro Oeste,5209200,Guapó,460,9822.45,21.35
TO,Norte,1708205,Formoso do Araguaia,731,9811.14,13.42
SP,Sudeste,3545605,Santa Adélia,670,9805.17,14.63
PE,Nordeste,2616209,Vertentes,554,9801.25,17.69
RS,Sul,4301701,Barão de Cotegipe,590,9789.54,16.59
MG,Sudeste,3108008,Bom Sucesso,302,9785.7,32.4
RN,Nordeste,2402303,Caraúbas,973,9784.06,10.06
RJ,Sudeste,3302106,Itaocara,1245,9769.49,7.85
PR,Sul,4108007,Florestópolis,302,9764.38,32.33
MG,Sudeste,3162906,São João Nepomuceno,760,9763.6,12.85
SP,Sudeste,3527306,Louveira,996,9762.7,9.8
MG,Sudeste,3166808,Serra do Salitre,338,9756.61,28.87
PR,Sul,4111209,Itapejara D'Oeste,612,9737.54,15.91
TO,Norte,1715002,Nova Rosalândia,107,9731.9,90.95
MG,Sudeste,3152006,Pompéu,851,9728.34,11.43
BA,Nordeste,2926301,Riachão do Jacuípe,883,9724.49,11.01
RN,Nordeste,2405603,Jardim de Piranhas,746,9688.26,12.99
PI,Nordeste,2208304,Piracuruca,1168,9679.97,8.29
SP,Sudeste,3501806,Américo de Campos,468,9675.76,20.67
RO,Norte,1100056,Cerejeiras,820,9672.81,11.8
SC,Sul,4204509,Corupá,828,9669.91,11.68
MG,Sudeste,3128808,Guidoval,299,9669.26,32.34
PR,Sul,4111803,Jacarezinho,1050,9658.16,9.2
MA,Nordeste,2105401,Itapecuru Mirim,744,9644.97,12.96
MA,Nordeste,2106409,Mata Roma,212,9603.1,45.3
MG,Sudeste,3101904,Alpinópolis,767,9601.11,12.52
SP,Sudeste,3507407,Borborema,1251,9579.97,7.66
SE,Nordeste,2806701,São Cristóvão,899,9577.66,10.65
SP,Sudeste,3509304,Cajobi,469,9577.16,20.42
GO,Centro Oeste,5206404,Crixás,495,9573.0,19.34
RS,Sul,4317301,Santa Vitória do Palmar,573,9563.69,16.69
MG,Sudeste,3171204,Vespasiano,1020,9562.2,9.37
AL,Nordeste,2706901,Pilar,559,9546.68,17.08
SP,Sudeste,3542404,Regente Feijó,1226,9545.32,7.79
MG,Sudeste,3124302,Espinosa,400,9540.2,23.85
SP,Sudeste,3531506,Monte Azul Paulista,744,9521.96,12.8
SP,Sudeste,3514908,Elias Fausto,365,9518.3,26.08
PR,Sul,4105300,Céu Azul,691,9513.67,13.77
MT,Centro Oeste,5106653,Pontal do Araguaia,541,9512.84,17.58
TO,Norte,1709302,Guaraí,843,9493.18,11.26
BA,Nordeste,2928109,Santa Maria da Vitória,1080,9478.66,8.78
PR,Sul,4122008,Rio Azul,706,9471.13,13.42
SC,Sul,4204400,Coronel Freitas,482,9464.89,19.64
MA,Nordeste,2106706,Mirador,379,9464.08,24.97
RN,Nordeste,2401107,Areia Branca,1316,9440.46,7.17
SC,Sul,4206652,Guatambú,293,9437.04,32.21
MG,Sudeste,3170800,Várzea da Palma,552,9433.01,17.09
PA,Norte,1505809,Portel,1188,9416.03,7.93
RS,Sul,4311205,Júlio de Castilhos,843,9408.88,11.16
PR,Sul,4104600,Capitão Leônidas Marques,840,9396.95,11.19
MG,Sudeste,3160801,São Bento Abade,43,9391.11,218.4
MG,Sudeste,3118403,Conselheiro Pena,1341,9386.99,7.0
SP,Sudeste,3544251,Rosana,1523,9383.54,6.16
PE,Nordeste,2605103,Custódia,1519,9379.95,6.18
RO,Norte,1100320,São Miguel do Guaporé,893,9372.38,10.5
GO,Centro Oeste,5212808,Mara Rosa,402,9371.26,23.31
SP,Sudeste,3519303,Ibaté,778,9364.66,12.04
MT,Centro Oeste,5102686,Campos de Júlio,437,9362.49,21.42
SP,Sudeste,3505302,Barra Bonita,1150,9341.82,8.12
MG,Sudeste,3111507,Campos Altos,228,9331.21,40.93
BA,Nordeste,2923001,Nova Viçosa,1244,9330.74,7.5
ES,Sudeste,3204658,São Domingos do Norte,568,9327.69,16.42
RS,Sul,4304903,Casca,796,9307.29,11.69
CE,Nordeste,2310209,Paracuru,785,9305.06,11.85
SP,Sudeste,3504206,Auriflama,1264,9302.24,7.36
ES,Sudeste,3202504,Ibiraçu,418,9293.61,22.23
SC,Sul,4208807,Jaguaruna,688,9290.13,13.5
MG,Sudeste,3152808,Prata,240,9280.9,38.67
RJ,Sudeste,3301850,Guapimirim,963,9280.25,9.64
SP,Sudeste,3512209,Conchal,638,9261.22,14.52
MT,Centro Oeste,5106182,Nova Lacerda,401,9230.26,23.02
PI,Nordeste,2211209,Uruçuí,631,9223.51,14.62
RS,Sul,4314001,Paraí,630,9206.09,14.61
MS,Centro Oeste,5006275,Paraíso das Águas,370,9205.09,24.88
MA,Nordeste,2109502,Riachão,431,9204.56,21.36
SC,Sul,4216008,São Carlos,459,9204.13,20.05
PR,Sul,4125605,São Mateus do Sul,781,9201.35,11.78
SP,Sudeste,3550605,São Roque,1197,9190.59,7.68
GO,Centro Oeste,5200308,Alexânia,740,9177.65,12.4
PR,Sul,4106506,Coronel Vivida,804,9168.25,11.4
RJ,Sudeste,3300902,Cambuci,592,9163.05,15.48
SP,Sudeste,3515350,Euclides da Cunha Paulista,456,9145.05,20.05
BA,Nordeste,2930204,Sento Sé,819,9139.17,11.16
RS,Sul,4318200,São Francisco de Paula,875,9132.71,10.44
PA,Norte,1508209,Vigia,367,9125.06,24.86
MG,Sudeste,3161700,São Gonçalo do Abaeté,274,9115.27,33.27
SP,Sudeste,3556107,Valentim Gentil,1083,9099.42,8.4
SP,Sudeste,3513108,Cravinhos,814,9092.0,11.17
SC,Sul,4201505,Armazém,574,9089.59,15.84
MT,Centro Oeste,5105176,Juruena,630,9088.75,14.43
MT,Centro Oeste,5105580,Marcelândia,492,9085.78,18.47
ES,Sudeste,3205150,Vila Pavão,687,9078.43,13.21
BA,Nordeste,2910107,Dom Basílio,1321,9065.48,6.86
SP,Sudeste,3512001,Colina,733,9048.59,12.34
RJ,Sudeste,3300951,Comendador Levy Gasparian,115,9040.24,78.61
RS,Sul,4308904,Getúlio Vargas,1035,9022.62,8.72
RS,Sul,4310009,Ibirubá,1126,9018.08,8.01
CE,Nordeste,2309300,Nova Russas,823,9010.84,10.95
PB,Nordeste,2512507,Queimadas,296,9007.44,30.43
PE,Nordeste,2600054,Abreu e Lima,1179,9003.46,7.64
PA,Norte,1506609,Santa Maria do Pará,456,8997.03,19.73
TO,Norte,1707009,Dianópolis,423,8977.79,21.22
ES,Sudeste,3205069,Venda Nova do Imigrante,610,8975.23,14.71
GO,Centro Oeste,5211305,Itarumã,259,8970.86,34.64
BA,Nordeste,2914653,Itabela,749,8951.52,11.95
ES,Sudeste,3202108,Ecoporanga,641,8950.42,13.96
MA,Nordeste,2112506,Tutóia,741,8929.08,12.05
RS,Sul,4320404,Serafina Corrêa,891,8928.13,10.02
SP,Sudeste,3521309,Ipuã,828,8927.87,10.78
MT,Centro Oeste,5103304,Comodoro,648,8905.02,13.74
PB,Nordeste,2507002,Itaporanga,530,8881.29,16.76
RJ,Sudeste,3303955,Pinheiral,283,8878.55,31.37
BA,Nordeste,2920205,Malhada,577,8851.58,15.34
RS,Sul,4321402,Tenente Portela,873,8845.51,10.13
SP,Sudeste,3547502,Santa Rita do Passa Quatro,844,8842.71,10.48
PR,Sul,4118204,Paranaguá,734,8834.43,12.04
BA,Nordeste,2901155,América Dourada,256,8829.27,34.49
SP,Sudeste,3506409,Bilac,730,8828.78,12.09
SC,Sul,4217808,Taió,704,8815.49,12.52
SP,Sudeste,3500907,Altair,114,8812.83,77.31
MS,Centro Oeste,5007505,Rochedo,370,8810.18,23.81
SP,Sudeste,3507902,Brotas,961,8800.65,9.16
BA,Nordeste,2933604,Xique-Xique,1153,8798.1,7.63
MA,Nordeste,2103505,Colinas,625,8788.4,14.06
MG,Sudeste,3105004,Baldim,209,8781.31,42.02
PE,Nordeste,2615607,Trindade,892,8780.36,9.84
RS,Sul,4315073,Porto Vera Cruz,1175,8774.9,7.47
GO,Centro Oeste,5204250,Cachoeira Dourada,460,8769.7,19.06
PE,Nordeste,2613107,São Caitano,385,8768.7,22.78
PE,Nordeste,2605707,Floresta,911,8767.86,9.62
SP,Sudeste,3536000,Parapuã,416,8762.83,21.06
GO,Centro Oeste,5217302,Pirenópolis,941,8759.13,9.31
MG,Sudeste,3169356,Três Marias,727,8751.24,12.04
SC,Sul,4204707,Cunha Porã,546,8748.33,16.02
PE,Nordeste,2610004,Palmares,965,8746.0,9.06
MG,Sudeste,3114501,Carmópolis de Minas,277,8734.89,31.53
SP,Sudeste,3520400,Ilhabela,785,8726.77,11.12
SP,Sudeste,3552700,Tabatinga,453,8722.46,19.25
SC,Sul,4217402,Schroeder,1378,8708.73,6.32
SP,Sudeste,3511003,Castilho,1548,8698.27,5.62
RO,Norte,1100106,Guajará-Mirim,582,8690.02,14.93
BA,Nordeste,2902906,Barra do Choça,753,8686.57,11.54
MS,Centro Oeste,5003751,Eldorado,959,8673.19,9.04
MA,Nordeste,2105427,Itinga do Maranhão,713,8657.31,12.14
SP,Sudeste,3543709,Rincão,302,8655.34,28.66
RN,Nordeste,2414209,Tibau do Sul,757,8655.31,11.43
MA,Nordeste,2105005,Humberto de Campos,150,8635.94,57.57
CE,Nordeste,2305308,Ibiapina,385,8635.12,22.43
MG,Sudeste,3161809,São Gonçalo do Pará,279,8632.85,30.94
CE,Nordeste,2308104,Mauriti,747,8624.23,11.55
BA,Nordeste,2906600,Candiba,1131,8621.14,7.62
CE,Nordeste,2304251,Cruz,714,8617.18,12.07
RS,Sul,4300570,Alto Feliz,1043,8607.78,8.25
CE,Nordeste,2310852,Pindoretama,482,8593.22,17.83
GO,Centro Oeste,5220405,São Simão,783,8574.27,10.95
BA,Nordeste,2902807,Barra da Estiva,691,8573.68,12.41
ES,Sudeste,3200201,Alegre,999,8571.7,8.58
GO,Centro Oeste,5200134,Acreúna,794,8568.78,10.79
MS,Centro Oeste,5000856,Angélica,885,8565.87,9.68
SP,Sudeste,3515103,Embu-Guaçu,344,8565.87,24.9
RS,Sul,4300901,Aratiba,536,8560.15,15.97
SP,Sudeste,3519105,Iacanga,584,8556.3,14.65
MG,Sudeste,3130200,Igaratinga,368,8543.74,23.22
PE,Nordeste,2603009,Cabrobó,1129,8537.19,7.56
RN,Nordeste,2414407,Touros,873,8535.65,9.78
ES,Sudeste,3202801,Itapemirim,854,8528.15,9.99
BA,Nordeste,2913903,Ipiaú,985,8525.95,8.66
RS,Sul,4320206,Seberi,772,8517.25,11.03
RS,Sul,4312658,Não-Me-Toque,1077,8516.55,7.91
MG,Sudeste,3159803,Santa Vitória,1201,8506.86,7.08
PI,Nordeste,2210003,São João do Piauí,602,8502.03,14.12
RS,Sul,4306007,Crissiumal,1089,8494.03,7.8
RJ,Sudeste,3300456,Belford Roxo,946,8488.68,8.97
SP,Sudeste,3536307,Patrocínio Paulista,342,8474.48,24.78
CE,Nordeste,2300309,Acopiara,879,8465.15,9.63
SP,Sudeste,3508405,Cabreúva,786,8461.29,10.76
PA,Norte,1504802,Monte Alegre,944,8460.51,8.96
PR,Sul,4120200,Porto Rico,716,8459.08,11.81
BA,Nordeste,2926004,Remanso,1158,8449.63,7.3
SP,Sudeste,3510609,Carapicuíba,929,8447.79,9.09
MG,Sudeste,3106309,Belo Oriente,979,8441.27,8.62
PR,Sul,4127858,Três Barras do Paraná,644,8411.22,13.06
MT,Centro Oeste,5101308,Arenápolis,810,8409.57,10.38
SC,Sul,4211009,Mondaí,631,8399.55,13.31
BA,Nordeste,2918357,João Dourado,596,8375.63,14.05
BA,Nordeste,2930154,Serra do Ramalho,895,8369.81,9.35
MS,Centro Oeste,5002159,Bodoquena,661,8351.46,12.63
MS,Centro Oeste,5005806,Nioaque,861,8349.46,9.7
SC,Sul,4207106,Ilhota,1018,8347.67,8.2
SP,Sudeste,3520103,Igarapava,684,8345.7,12.2
CE,Nordeste,2313104,Tabuleiro do Norte,1016,8328.86,8.2
SP,Sudeste,3545159,Saltinho,433,8323.05,19.22
MG,Sudeste,3112307,Capelinha,565,8319.89,14.73
GO,Centro Oeste,5222005,Vianópolis,566,8318.91,14.7
SP,Sudeste,3512803,Cosmópolis,1297,8318.63,6.41
BA,Nordeste,2923605,Paramirim,1152,8316.64,7.22
SP,Sudeste,3511300,Cedral,696,8310.37,11.94
SC,Sul,4204806,Curitibanos,563,8275.05,14.7
SP,Sudeste,3500204,Adolfo,278,8264.37,29.73
SC,Sul,4217303,Saudades,545,8259.76,15.16
BA,Nordeste,2913101,Ibititá,303,8250.24,27.23
RS,Sul,4302402,Bom Retiro do Sul,1110,8240.26,7.42
GO,Centro Oeste,5214507,Nerópolis,751,8237.88,10.97
CE,Nordeste,2302503,Brejo Santo,824,8235.85,9.99
RJ,Sudeste,3303005,Miracema,957,8232.23,8.6
ES,Sudeste,3204955,São Roque do Canaã,538,8228.68,15.29
PE,Nordeste,2602308,Bonito,449,8202.79,18.27
PE,Nordeste,2614857,Tamandaré,831,8197.64,9.86
PR,Sul,4113452,Lindoeste,249,8196.95,32.92
CE,Nordeste,2305001,Guaraciaba do Norte,655,8190.05,12.5
SP,Sudeste,3528403,Mairinque,1270,8188.82,6.45
GO,Centro Oeste,5215504,Ouvidor,317,8184.77,25.82
MG,Sudeste,3169604,Tupaciguara,640,8184.26,12.79
SP,Sudeste,3525201,Jarinu,804,8169.59,10.16
MG,Sudeste,3137809,Lambari,521,8165.05,15.67
SP,Sudeste,3550902,São Simão,327,8147.65,24.92
MG,Sudeste,3153608,Prudente de Morais,139,8131.03,58.5
PR,Sul,4117602,Palmas,440,8130.06,18.48
MG,Sudeste,3144003,Mutum,800,8125.69,10.16
PE,Nordeste,2607604,Ilha de Itamaracá,900,8107.7,9.01
SP,Sudeste,3546009,Santa Branca,324,8100.13,25.0
AL,Nordeste,2709301,União dos Palmares,785,8095.16,10.31
MG,Sudeste,3133501,Itapecerica,538,8092.82,15.04
PR,Sul,4110102,Imbituva,629,8091.86,12.86
PR,Sul,4126702,Tamboara,281,8091.05,28.79
AC,Norte,1200450,Senador Guiomard,548,8064.44,14.72
SE,Nordeste,2804508,Nossa Senhora da Glória,560,8060.32,14.39
PE,Nordeste,2603900,Carnaíba,526,8059.38,15.32
MG,Sudeste,3101102,Aimorés,1208,8032.77,6.65
